"PAYS","REGION","NUTS","ANNEE","NB_OBS","warm_moy","leaking_moy","warm_na","leaking_na"
"NO","NO02","NUTS 2",2006,NA,NA,NA,NA,NA
"FI","FI19","NUTS 2",2006,2968,0.9659,0.0374,7e-04,7e-04
"SE","SE31","NUTS 2",2006,NA,NA,NA,NA,NA
"FI","FI20","NUTS 2",2006,83,0.9639,0.0602,0,0
"FI","FI18","NUTS 2",2006,4878,0.9686,0.0425,0.001,8e-04
"NO","NO01","NUTS 2",2006,NA,NA,NA,NA,NA
"NO","NO05","NUTS 2",2006,NA,NA,NA,NA,NA
"NO","NO03","NUTS 2",2006,NA,NA,NA,NA,NA
"SE","SE11","NUTS 2",2006,NA,NA,NA,NA,NA
"NO","NO04","NUTS 2",2006,NA,NA,NA,NA,NA
"SE","SE12","NUTS 2",2006,NA,NA,NA,NA,NA
"EE","EE00","NUTS 2",2006,5631,0.9879,0.1985,0,0
"UK","UKM5","NUTS 2",2006,NA,NA,NA,NA,NA
"SE","SE23","NUTS 2",2006,NA,NA,NA,NA,NA
"SE","SE21","NUTS 2",2006,NA,NA,NA,NA,NA
"DK","DK05","NUTS 2",2006,NA,NA,NA,NA,NA
"LV","LV00","NUTS 2",2006,4315,0.8072,0.2051,0,0
"DK","DK04","NUTS 2",2006,NA,NA,NA,NA,NA
"SE","SE22","NUTS 2",2006,NA,NA,NA,NA,NA
"UK","UKM2","NUTS 2",2006,NA,NA,NA,NA,NA
"UK","UKM3","NUTS 2",2006,NA,NA,NA,NA,NA
"UK","UKM6","NUTS 2",2006,NA,NA,NA,NA,NA
"DK","DK01","NUTS 2",2006,NA,NA,NA,NA,NA
"DE","DE80","NUTS 2",2006,NA,NA,NA,NA,NA
"UK","UKF3","NUTS 2",2006,NA,NA,NA,NA,NA
"PL","PL34","NUTS 2",2006,NA,NA,NA,NA,NA
"UK","UKD3","NUTS 2",2006,NA,NA,NA,NA,NA
"PL","PL42","NUTS 2",2006,NA,NA,NA,NA,NA
"UK","UKE3","NUTS 2",2006,NA,NA,NA,NA,NA
"UK","UKD5","NUTS 2",2006,NA,NA,NA,NA,NA
"UK","UKD2","NUTS 2",2006,NA,NA,NA,NA,NA
"PL","PL61","NUTS 2",2006,NA,NA,NA,NA,NA
"NL","NL11","NUTS 2",2006,NA,NA,NA,NA,NA
"DE","DE50","NUTS 2",2006,NA,NA,NA,NA,NA
"NL","NL12","NUTS 2",2006,NA,NA,NA,NA,NA
"UK","UKF1","NUTS 2",2006,NA,NA,NA,NA,NA
"DE","DE93","NUTS 2",2006,NA,NA,NA,NA,NA
"NL","NL13","NUTS 2",2006,NA,NA,NA,NA,NA
"DE","DE94","NUTS 2",2006,NA,NA,NA,NA,NA
"NL","NL31","NUTS 2",2006,NA,NA,NA,NA,NA
"PL","PL41","NUTS 2",2006,NA,NA,NA,NA,NA
"DE","DE92","NUTS 2",2006,NA,NA,NA,NA,NA
"NL","NL22","NUTS 2",2006,NA,NA,NA,NA,NA
"NL","NL33","NUTS 2",2006,NA,NA,NA,NA,NA
"UK","UKH2","NUTS 2",2006,NA,NA,NA,NA,NA
"DE","DEA4","NUTS 2",2006,NA,NA,NA,NA,NA
"PL","PL12","NUTS 2",2006,NA,NA,NA,NA,NA
"DE","DE42","NUTS 2",2006,NA,NA,NA,NA,NA
"PL","PL11","NUTS 2",2006,NA,NA,NA,NA,NA
"UK","UKL1","NUTS 2",2006,NA,NA,NA,NA,NA
"DE","DE91","NUTS 2",2006,NA,NA,NA,NA,NA
"DE","DEA3","NUTS 2",2006,NA,NA,NA,NA,NA
"UK","UKJ1","NUTS 2",2006,NA,NA,NA,NA,NA
"UK","UKI1","NUTS 2",2006,NA,NA,NA,NA,NA
"NL","NL41","NUTS 2",2006,NA,NA,NA,NA,NA
"UK","UKH3","NUTS 2",2006,NA,NA,NA,NA,NA
"UK","UKL2","NUTS 2",2006,NA,NA,NA,NA,NA
"UK","UKK1","NUTS 2",2006,NA,NA,NA,NA,NA
"UK","UKI2","NUTS 2",2006,NA,NA,NA,NA,NA
"UK","UKJ4","NUTS 2",2006,NA,NA,NA,NA,NA
"PL","PL31","NUTS 2",2006,NA,NA,NA,NA,NA
"NL","NL34","NUTS 2",2006,NA,NA,NA,NA,NA
"DE","DEE0","NUTS 2",2006,NA,NA,NA,NA,NA
"DE","DED3","NUTS 2",2006,NA,NA,NA,NA,NA
"DE","DEA1","NUTS 2",2006,NA,NA,NA,NA,NA
"BE","BE21","NUTS 2",2006,903,0.9446,0.1085,0,0
"PL","PL52","NUTS 2",2006,NA,NA,NA,NA,NA
"DE","DEA5","NUTS 2",2006,NA,NA,NA,NA,NA
"PL","PL33","NUTS 2",2006,NA,NA,NA,NA,NA
"DE","DED2","NUTS 2",2006,NA,NA,NA,NA,NA
"NL","NL42","NUTS 2",2006,NA,NA,NA,NA,NA
"BE","BE24","NUTS 2",2006,515,0.9204,0.1029,0,0
"PL","PL51","NUTS 2",2006,NA,NA,NA,NA,NA
"BE","BE22","NUTS 2",2006,402,0.9378,0.1194,0,0
"FR","FR30","NUTS 2",2006,NA,NA,NA,NA,NA
"NL","NL23","NUTS 2",2006,NA,NA,NA,NA,NA
"UK","UKG2","NUTS 2",2006,NA,NA,NA,NA,NA
"DE","DE30","NUTS 2",2006,NA,NA,NA,NA,NA
"UK","UKF2","NUTS 2",2006,NA,NA,NA,NA,NA
"IE","IE02","NUTS 2",2006,4286,0.968,0.3833,2e-04,0
"UK","UKH1","NUTS 2",2006,NA,NA,NA,NA,NA
"UK","UKG3","NUTS 2",2006,NA,NA,NA,NA,NA
"NL","NL21","NUTS 2",2006,NA,NA,NA,NA,NA
"DE","DE41","NUTS 2",2006,NA,NA,NA,NA,NA
"UK","UKG1","NUTS 2",2006,NA,NA,NA,NA,NA
"NL","NL32","NUTS 2",2006,NA,NA,NA,NA,NA
"PL","PL43","NUTS 2",2006,NA,NA,NA,NA,NA
"DK","DK03","NUTS 2",2006,NA,NA,NA,NA,NA
"DK","DK02","NUTS 2",2006,NA,NA,NA,NA,NA
"UK","UKC2","NUTS 2",2006,NA,NA,NA,NA,NA
"UK","UKD1","NUTS 2",2006,NA,NA,NA,NA,NA
"UK","UKN0","NUTS 2",2006,NA,NA,NA,NA,NA
"UK","UKC1","NUTS 2",2006,NA,NA,NA,NA,NA
"LT","LT00","NUTS 2",2006,4660,0.6989,0.2313,0,0
"PL","PL62","NUTS 2",2006,NA,NA,NA,NA,NA
"PL","PL63","NUTS 2",2006,NA,NA,NA,NA,NA
"UK","UKE2","NUTS 2",2006,NA,NA,NA,NA,NA
"IE","IE01","NUTS 2",2006,1550,0.9677,0.3368,0,0
"UK","UKE4","NUTS 2",2006,NA,NA,NA,NA,NA
"DE","DEF0","NUTS 2",2006,NA,NA,NA,NA,NA
"UK","UKD4","NUTS 2",2006,NA,NA,NA,NA,NA
"DE","DE60","NUTS 2",2006,NA,NA,NA,NA,NA
"UK","UKE1","NUTS 2",2006,NA,NA,NA,NA,NA
"CH","CH01","NUTS 2",2006,NA,NA,NA,NA,NA
"RO","RO12","NUTS 2",2006,NA,NA,NA,NA,NA
"FR","FR53","NUTS 2",2006,NA,NA,NA,NA,NA
"IT","ITC2","NUTS 2",2006,4,1,1,0,0
"HR","HR01","NUTS 2",2006,NA,NA,NA,NA,NA
"SI","SI01","NUTS 2",2006,NA,NA,NA,NA,NA
"SI","SI02","NUTS 2",2006,NA,NA,NA,NA,NA
"IT","ITD4","NUTS 2",2006,3,1,0.3333,0,0
"FR","FR63","NUTS 2",2006,NA,NA,NA,NA,NA
"RO","RO42","NUTS 2",2006,NA,NA,NA,NA,NA
"FR","FR72","NUTS 2",2006,NA,NA,NA,NA,NA
"IT","ITC4","NUTS 2",2006,8,1,0.875,0,0
"UK","UKK3","NUTS 2",2006,NA,NA,NA,NA,NA
"BE","BE10","NUTS 2",2006,800,0.9361,0.1175,0.0025,0
"BE","BE25","NUTS 2",2006,631,0.9302,0.1363,0.0016,0
"BE","BE23","NUTS 2",2006,674,0.9362,0.1083,0,0
"UK","UKJ2","NUTS 2",2006,NA,NA,NA,NA,NA
"DE","DE73","NUTS 2",2006,NA,NA,NA,NA,NA
"UK","UKK2","NUTS 2",2006,NA,NA,NA,NA,NA
"DE","DEA2","NUTS 2",2006,NA,NA,NA,NA,NA
"UK","UKJ3","NUTS 2",2006,NA,NA,NA,NA,NA
"BE","BE31","NUTS 2",2006,156,0.9615,0.1026,0,0
"CZ","CZ02","NUTS 2",2006,NA,NA,NA,NA,NA
"DE","DE72","NUTS 2",2006,NA,NA,NA,NA,NA
"DE","DED1","NUTS 2",2006,NA,NA,NA,NA,NA
"DE","DEG0","NUTS 2",2006,NA,NA,NA,NA,NA
"BE","BE33","NUTS 2",2006,592,0.9172,0.1301,0,0
"BE","BE32","NUTS 2",2006,788,0.9099,0.1345,0,0
"CZ","CZ04","NUTS 2",2006,NA,NA,NA,NA,NA
"UK","UKK4","NUTS 2",2006,NA,NA,NA,NA,NA
"BE","BE35","NUTS 2",2006,232,0.9224,0.1164,0,0
"CZ","CZ08","NUTS 2",2006,NA,NA,NA,NA,NA
"CZ","CZ05","NUTS 2",2006,NA,NA,NA,NA,NA
"LU","LU00","NUTS 2",2006,3836,0.9984,0.0576,0,3e-04
"CZ","CZ01","NUTS 2",2006,NA,NA,NA,NA,NA
"PL","PL22","NUTS 2",2006,NA,NA,NA,NA,NA
"DE","DEB1","NUTS 2",2006,NA,NA,NA,NA,NA
"DE","DE24","NUTS 2",2006,NA,NA,NA,NA,NA
"DE","DEB2","NUTS 2",2006,NA,NA,NA,NA,NA
"PL","PL32","NUTS 2",2006,NA,NA,NA,NA,NA
"DE","DE26","NUTS 2",2006,NA,NA,NA,NA,NA
"PL","PL21","NUTS 2",2006,NA,NA,NA,NA,NA
"BE","BE34","NUTS 2",2006,167,0.9281,0.0898,0,0
"FR","FR22","NUTS 2",2006,NA,NA,NA,NA,NA
"DE","DE71","NUTS 2",2006,NA,NA,NA,NA,NA
"CZ","CZ03","NUTS 2",2006,NA,NA,NA,NA,NA
"CZ","CZ06","NUTS 2",2006,NA,NA,NA,NA,NA
"CZ","CZ07","NUTS 2",2006,NA,NA,NA,NA,NA
"FR","FR23","NUTS 2",2006,NA,NA,NA,NA,NA
"DE","DEC0","NUTS 2",2006,NA,NA,NA,NA,NA
"DE","DEB3","NUTS 2",2006,NA,NA,NA,NA,NA
"DE","DE25","NUTS 2",2006,NA,NA,NA,NA,NA
"DE","DE23","NUTS 2",2006,NA,NA,NA,NA,NA
"SK","SK04","NUTS 2",2006,1435,0.9191,0.0334,7e-04,0
"FR","FR25","NUTS 2",2006,NA,NA,NA,NA,NA
"SK","SK03","NUTS 2",2006,1315,0.9217,0.0433,0,0
"FR","FR10","NUTS 2",2006,NA,NA,NA,NA,NA
"DE","DE11","NUTS 2",2006,NA,NA,NA,NA,NA
"SK","SK02","NUTS 2",2006,1794,0.9181,0.0412,0,0
"FR","FR21","NUTS 2",2006,NA,NA,NA,NA,NA
"SK","SK01","NUTS 2",2006,561,0.9234,0.0303,0,0
"DE","DE12","NUTS 2",2006,NA,NA,NA,NA,NA
"DE","DE22","NUTS 2",2006,NA,NA,NA,NA,NA
"FR","FR41","NUTS 2",2006,NA,NA,NA,NA,NA
"AT","AT13","NUTS 2",2006,1114,0.9569,0.1203,0,0
"FR","FR42","NUTS 2",2006,NA,NA,NA,NA,NA
"FR","FR52","NUTS 2",2006,NA,NA,NA,NA,NA
"HU","HU31","NUTS 2",2006,1035,0.8541,0.3807,0,0
"AT","AT31","NUTS 2",2006,1073,0.9543,0.1118,0,0
"AT","AT12","NUTS 2",2006,1139,0.9543,0.1027,0,0
"DE","DE13","NUTS 2",2006,NA,NA,NA,NA,NA
"DE","DE14","NUTS 2",2006,NA,NA,NA,NA,NA
"DE","DE21","NUTS 2",2006,NA,NA,NA,NA,NA
"CH","CH04","NUTS 2",2006,NA,NA,NA,NA,NA
"DE","DE27","NUTS 2",2006,NA,NA,NA,NA,NA
"HU","HU32","NUTS 2",2006,1182,0.8638,0.3325,0,0
"HU","HU10","NUTS 2",2006,1959,0.8703,0.3905,0,0
"CH","CH03","NUTS 2",2006,NA,NA,NA,NA,NA
"AT","AT34","NUTS 2",2006,270,0.9667,0.0889,0,0
"HU","HU21","NUTS 2",2006,797,0.8557,0.3689,0,0
"AT","AT11","NUTS 2",2006,226,0.9513,0.1239,0,0
"RO","RO11","NUTS 2",2006,NA,NA,NA,NA,NA
"FR","FR43","NUTS 2",2006,NA,NA,NA,NA,NA
"AT","AT32","NUTS 2",2006,361,0.9557,0.1053,0,0
"FR","FR24","NUTS 2",2006,NA,NA,NA,NA,NA
"LI","LI00","NUTS 2",2006,NA,NA,NA,NA,NA
"AT","AT22","NUTS 2",2006,920,0.95,0.1196,0,0
"FR","FR26","NUTS 2",2006,NA,NA,NA,NA,NA
"AT","AT33","NUTS 2",2006,498,0.9598,0.0843,0,0
"IT","ITD1","NUTS 2",2006,5,1,1,0,0
"CH","CH05","NUTS 2",2006,NA,NA,NA,NA,NA
"FR","FR51","NUTS 2",2006,NA,NA,NA,NA,NA
"HU","HU22","NUTS 2",2006,807,0.8724,0.3668,0,0
"CH","CH02","NUTS 2",2006,NA,NA,NA,NA,NA
"CH","CH06","NUTS 2",2006,NA,NA,NA,NA,NA
"RO","RO21","NUTS 2",2006,NA,NA,NA,NA,NA
"HU","HU33","NUTS 2",2006,1185,0.8473,0.3139,0,0
"AT","AT21","NUTS 2",2006,427,0.9485,0.1007,0,0
"CH","CH07","NUTS 2",2006,NA,NA,NA,NA,NA
"IT","ITD2","NUTS 2",2006,6,1,1,0,0
"HU","HU23","NUTS 2",2006,757,0.8745,0.325,0,0
"IT","ITE2","NUTS 2",2006,5,1,0.6,0,0
"FR","FR81","NUTS 2",2006,NA,NA,NA,NA,NA
"BG","BG34","NUTS 2",2006,NA,NA,NA,NA,NA
"ES","ES23","NUTS 2",2006,365,0.9233,0.1315,0,0
"ES","ES11","NUTS 2",2006,857,0.9417,0.1155,0,0
"IT","ITF1","NUTS 2",2006,3,1,0.3333,0,0
"FR","FR83","NUTS 2",2006,NA,NA,NA,NA,NA
"BG","BG41","NUTS 2",2006,NA,NA,NA,NA,NA
"BG","BG42","NUTS 2",2006,NA,NA,NA,NA,NA
"IT","ITF2","NUTS 2",2006,5,1,0.8,0,0
"IT","ITE4","NUTS 2",2006,4,1,0.5,0,0
"MK","MK00","NUTS 2",2006,NA,NA,NA,NA,NA
"TR","TR21","NUTS 2",2006,NA,NA,NA,NA,NA
"TR","TR81","NUTS 2",2006,NA,NA,NA,NA,NA
"TR","TR42","NUTS 2",2006,NA,NA,NA,NA,NA
"TR","TR51","NUTS 2",2006,NA,NA,NA,NA,NA
"IT","ITF4","NUTS 2",2006,5,1,1,0,0
"TR","TR22","NUTS 2",2006,NA,NA,NA,NA,NA
"GR","GR13","NUTS 2",2006,NA,NA,NA,NA,NA
"GR","GR12","NUTS 2",2006,NA,NA,NA,NA,NA
"TR","TR41","NUTS 2",2006,NA,NA,NA,NA,NA
"TR","TRA1","NUTS 2",2006,NA,NA,NA,NA,NA
"TR","TRA2","NUTS 2",2006,NA,NA,NA,NA,NA
"PT","PT16","NUTS 2",2006,NA,NA,NA,NA,NA
"GR","GR14","NUTS 2",2006,NA,NA,NA,NA,NA
"IT","ITG2","NUTS 2",2006,5,0.8,1,0,0
"ES","ES43","NUTS 2",2006,542,0.9188,0.1236,0,0
"ES","ES42","NUTS 2",2006,602,0.9118,0.1296,0.0017,0
"GR","GR21","NUTS 2",2006,NA,NA,NA,NA,NA
"TR","TR31","NUTS 2",2006,NA,NA,NA,NA,NA
"TR","TR72","NUTS 2",2006,NA,NA,NA,NA,NA
"TR","TRB1","NUTS 2",2006,NA,NA,NA,NA,NA
"ES","ES53","NUTS 2",2006,489,0.9284,0.1022,0,0
"TR","TR33","NUTS 2",2006,NA,NA,NA,NA,NA
"ES","ES52","NUTS 2",2006,994,0.9286,0.0996,0,0
"PT","PT17","NUTS 2",2006,NA,NA,NA,NA,NA
"ES","ES62","NUTS 2",2006,539,0.9091,0.0928,0,0
"IT","ITF6","NUTS 2",2006,6,1,0.6667,0,0
"GR","GR24","NUTS 2",2006,NA,NA,NA,NA,NA
"TR","TR71","NUTS 2",2006,NA,NA,NA,NA,NA
"PT","PT18","NUTS 2",2006,NA,NA,NA,NA,NA
"GR","GR23","NUTS 2",2006,NA,NA,NA,NA,NA
"TR","TRC2","NUTS 2",2006,NA,NA,NA,NA,NA
"GR","GR22","NUTS 2",2006,NA,NA,NA,NA,NA
"PT","PT20","NUTS 2",2006,NA,NA,NA,NA,NA
"TR","TRB2","NUTS 2",2006,NA,NA,NA,NA,NA
"ES","ES51","NUTS 2",2006,1332,0.9204,0.0983,0,0
"ES","ES24","NUTS 2",2006,541,0.9057,0.1238,0,0
"TR","TR10","NUTS 2",2006,NA,NA,NA,NA,NA
"ES","ES30","NUTS 2",2006,698,0.9298,0.096,0,0
"ES","ES41","NUTS 2",2006,889,0.9348,0.1024,0,0
"TR","TR82","NUTS 2",2006,NA,NA,NA,NA,NA
"PT","PT11","NUTS 2",2006,NA,NA,NA,NA,NA
"TR","TR83","NUTS 2",2006,NA,NA,NA,NA,NA
"IT","ITF3","NUTS 2",2006,8,1,1,0,0
"IT","ITF5","NUTS 2",2006,6,1,0.8333,0,0
"TR","TR90","NUTS 2",2006,NA,NA,NA,NA,NA
"GR","GR11","NUTS 2",2006,NA,NA,NA,NA,NA
"FR","FR71","NUTS 2",2006,NA,NA,NA,NA,NA
"IT","ITD3","NUTS 2",2006,8,1,0.875,0,0
"IT","ITC1","NUTS 2",2006,5,1,1,0,0
"RO","RO22","NUTS 2",2006,NA,NA,NA,NA,NA
"RO","RO41","NUTS 2",2006,NA,NA,NA,NA,NA
"RO","RO32","NUTS 2",2006,NA,NA,NA,NA,NA
"RO","RO31","NUTS 2",2006,NA,NA,NA,NA,NA
"IT","ITD5","NUTS 2",2006,7,1,0.7143,0,0
"IT","ITC3","NUTS 2",2006,6,1,0.8333,0,0
"FR","FR82","NUTS 2",2006,NA,NA,NA,NA,NA
"ES","ES12","NUTS 2",2006,614,0.9316,0.1124,0,0
"FR","FR61","NUTS 2",2006,NA,NA,NA,NA,NA
"BG","BG33","NUTS 2",2006,NA,NA,NA,NA,NA
"ES","ES13","NUTS 2",2006,318,0.8994,0.1226,0,0
"BG","BG31","NUTS 2",2006,NA,NA,NA,NA,NA
"ES","ES22","NUTS 2",2006,409,0.9267,0.0807,0,0
"IT","ITE3","NUTS 2",2006,3,1,1,0,0
"FR","FR62","NUTS 2",2006,NA,NA,NA,NA,NA
"ES","ES21","NUTS 2",2006,675,0.9156,0.1096,0,0
"IT","ITE1","NUTS 2",2006,7,1,0.8571,0,0
"BG","BG32","NUTS 2",2006,NA,NA,NA,NA,NA
"HR","HR03","NUTS 2",2006,NA,NA,NA,NA,NA
"GR","GR41","NUTS 2",2006,NA,NA,NA,NA,NA
"TR","TRC3","NUTS 2",2006,NA,NA,NA,NA,NA
"TR","TR52","NUTS 2",2006,NA,NA,NA,NA,NA
"TR","TR32","NUTS 2",2006,NA,NA,NA,NA,NA
"PT","PT15","NUTS 2",2006,NA,NA,NA,NA,NA
"TR","TR62","NUTS 2",2006,NA,NA,NA,NA,NA
"TR","TR61","NUTS 2",2006,NA,NA,NA,NA,NA
"GR","GR25","NUTS 2",2006,NA,NA,NA,NA,NA
"IT","ITG1","NUTS 2",2006,4,1,0.75,0,0
"TR","TRC1","NUTS 2",2006,NA,NA,NA,NA,NA
"ES","ES61","NUTS 2",2006,1490,0.9201,0.1101,0,0
"TR","TR63","NUTS 2",2006,NA,NA,NA,NA,NA
"GR","GR30","NUTS 2",2006,NA,NA,NA,NA,NA
"MT","MT00","NUTS 2",2006,NA,NA,NA,NA,NA
"ES","ES63","NUTS 2",2006,138,0.9275,0.1232,0,0
"GR","GR42","NUTS 2",2006,NA,NA,NA,NA,NA
"CY","CY00","NUTS 2",2006,3621,0.8089,0.1897,0,0
"GR","GR43","NUTS 2",2006,NA,NA,NA,NA,NA
"ES","ES64","NUTS 2",2006,111,0.8829,0.1351,0,0
"PT","PT30","NUTS 2",2006,NA,NA,NA,NA,NA
"ES","ES70","NUTS 2",2006,602,0.9419,0.1047,0,0
"FR","FR91","NUTS 2",2006,NA,NA,NA,NA,NA
"FR","FR92","NUTS 2",2006,NA,NA,NA,NA,NA
"FR","FR93","NUTS 2",2006,NA,NA,NA,NA,NA
"FR","FR94","NUTS 2",2006,NA,NA,NA,NA,NA
"ME","ME00","NUTS 2",2006,NA,NA,NA,NA,NA
"IS","IS","NUTS 0",2007,NA,NA,NA,NA,NA
"FI","FI","NUTS 0",2007,10624,0.9941,0.0417,0.0056,0.0024
"NO","NO","NUTS 0",2007,NA,NA,NA,NA,NA
"UK","UK","NUTS 0",2007,NA,NA,NA,NA,NA
"LU","LU","NUTS 0",2007,3885,0.9987,0.1116,3e-04,0.001
"PL","PL","NUTS 0",2007,NA,NA,NA,NA,NA
"BE","BE","NUTS 0",2007,6348,0.91,0.11,3e-04,0
"EE","EE","NUTS 0",2007,5146,0.9819,0.1858,0,0
"LV","LV","NUTS 0",2007,NA,NA,NA,NA,NA
"LT","LT","NUTS 0",2007,4975,0.8665,0.1335,0,0
"SE","SE","NUTS 0",2007,NA,NA,NA,NA,NA
"DK","DK","NUTS 0",2007,5783,0.9358,0.0573,0.0031,0.001
"IE","IE","NUTS 0",2007,21,1,0.8095,0,0
"NL","NL","NUTS 0",2007,NA,NA,NA,NA,NA
"HU","HU","NUTS 0",2007,8737,0.9329,0.1688,0,0
"CH","CH","NUTS 0",2007,NA,NA,NA,NA,NA
"SI","SI","NUTS 0",2007,NA,NA,NA,NA,NA
"RO","RO","NUTS 0",2007,8031,0.676,0.1728,0,0
"HR","HR","NUTS 0",2007,NA,NA,NA,NA,NA
"TR","TR","NUTS 0",2007,NA,NA,NA,NA,NA
"MT","MT","NUTS 0",2007,NA,NA,NA,NA,NA
"CY","CY","NUTS 0",2007,3505,0.8516,0.1606,0,0
"PT","PT","NUTS 0",2007,NA,NA,NA,NA,NA
"GR","GR","NUTS 0",2007,NA,NA,NA,NA,NA
"ES","ES","NUTS 0",2007,12329,0.9647,0.1184,0,1e-04
"BG","BG","NUTS 0",2007,4270,0.3924,0.0793,0.004,0.0049
"MK","MK","NUTS 0",2007,NA,NA,NA,NA,NA
"IT","IT","NUTS 0",2007,20982,0.9466,0.2045,0,0
"CZ","CZ","NUTS 0",2007,NA,NA,NA,NA,NA
"SK","SK","NUTS 0",2007,4946,0.9043,0.0119,2e-04,0
"DE","DE","NUTS 0",2007,NA,NA,NA,NA,NA
"LI","LI","NUTS 0",2007,NA,NA,NA,NA,NA
"AT","AT","NUTS 0",2007,6806,0.9835,0.0948,1e-04,0
"FR","FR","NUTS 0",2007,10498,0.9721,0.1112,0.001,0
"ME","ME","NUTS 0",2007,NA,NA,NA,NA,NA
"IS","IS0","NUTS 1",2007,NA,NA,NA,NA,NA
"SE","SE3","NUTS 1",2007,NA,NA,NA,NA,NA
"FI","FI2","NUTS 1",2007,59,1,0.0169,0.0169,0
"FI","FI1","NUTS 1",2007,10565,0.9941,0.0418,0.0055,0.0025
"SE","SE1","NUTS 1",2007,NA,NA,NA,NA,NA
"EE","EE0","NUTS 1",2007,5146,0.9819,0.1858,0,0
"LV","LV0","NUTS 1",2007,NA,NA,NA,NA,NA
"SE","SE2","NUTS 1",2007,NA,NA,NA,NA,NA
"UK","UKM","NUTS 1",2007,NA,NA,NA,NA,NA
"DK","DK0","NUTS 1",2007,5783,0.9358,0.0573,0.0031,0.001
"UK","UKN","NUTS 1",2007,NA,NA,NA,NA,NA
"UK","UKC","NUTS 1",2007,NA,NA,NA,NA,NA
"LT","LT0","NUTS 1",2007,4975,0.8665,0.1335,0,0
"DE","DEF","NUTS 1",2007,NA,NA,NA,NA,NA
"DE","DE6","NUTS 1",2007,NA,NA,NA,NA,NA
"DE","DE8","NUTS 1",2007,NA,NA,NA,NA,NA
"UK","UKE","NUTS 1",2007,NA,NA,NA,NA,NA
"UK","UKD","NUTS 1",2007,NA,NA,NA,NA,NA
"PL","PL6","NUTS 1",2007,NA,NA,NA,NA,NA
"DE","DE5","NUTS 1",2007,NA,NA,NA,NA,NA
"NL","NL1","NUTS 1",2007,NA,NA,NA,NA,NA
"DE","DE3","NUTS 1",2007,NA,NA,NA,NA,NA
"UK","UKF","NUTS 1",2007,NA,NA,NA,NA,NA
"IE","IE0","NUTS 1",2007,21,1,0.8095,0,0
"UK","UKG","NUTS 1",2007,NA,NA,NA,NA,NA
"UK","UKL","NUTS 1",2007,NA,NA,NA,NA,NA
"UK","UKI","NUTS 1",2007,NA,NA,NA,NA,NA
"NL","NL3","NUTS 1",2007,NA,NA,NA,NA,NA
"DE","DEE","NUTS 1",2007,NA,NA,NA,NA,NA
"NL","NL4","NUTS 1",2007,NA,NA,NA,NA,NA
"PL","PL5","NUTS 1",2007,NA,NA,NA,NA,NA
"FR","FR3","NUTS 1",2007,732,0.9685,0.112,0.0014,0
"BE","BE1","NUTS 1",2007,856,0.9018,0.111,0.0012,0
"BE","BE2","NUTS 1",2007,3460,0.9107,0.1075,3e-04,0
"PL","PL4","NUTS 1",2007,NA,NA,NA,NA,NA
"NL","NL2","NUTS 1",2007,NA,NA,NA,NA,NA
"DE","DE4","NUTS 1",2007,NA,NA,NA,NA,NA
"PL","PL1","NUTS 1",2007,NA,NA,NA,NA,NA
"DE","DE9","NUTS 1",2007,NA,NA,NA,NA,NA
"UK","UKH","NUTS 1",2007,NA,NA,NA,NA,NA
"IT","ITE","NUTS 1",2007,4950,0.9554,0.1966,0,0
"MK","MK0","NUTS 1",2007,NA,NA,NA,NA,NA
"ES","ES2","NUTS 1",2007,1997,0.97,0.1112,0,0
"TR","TR1","NUTS 1",2007,NA,NA,NA,NA,NA
"ES","ES3","NUTS 1",2007,847,0.9693,0.1133,0,0
"TR","TR8","NUTS 1",2007,NA,NA,NA,NA,NA
"TR","TR9","NUTS 1",2007,NA,NA,NA,NA,NA
"TR","TR2","NUTS 1",2007,NA,NA,NA,NA,NA
"TR","TR4","NUTS 1",2007,NA,NA,NA,NA,NA
"DE","DEA","NUTS 1",2007,NA,NA,NA,NA,NA
"UK","UKJ","NUTS 1",2007,NA,NA,NA,NA,NA
"DE","DED","NUTS 1",2007,NA,NA,NA,NA,NA
"DE","DEG","NUTS 1",2007,NA,NA,NA,NA,NA
"UK","UKK","NUTS 1",2007,NA,NA,NA,NA,NA
"LU","LU0","NUTS 1",2007,3885,0.9987,0.1116,3e-04,0.001
"PL","PL3","NUTS 1",2007,NA,NA,NA,NA,NA
"PL","PL2","NUTS 1",2007,NA,NA,NA,NA,NA
"BE","BE3","NUTS 1",2007,2032,0.9124,0.1137,0,0
"DE","DE7","NUTS 1",2007,NA,NA,NA,NA,NA
"CZ","CZ0","NUTS 1",2007,NA,NA,NA,NA,NA
"DE","DEC","NUTS 1",2007,NA,NA,NA,NA,NA
"DE","DEB","NUTS 1",2007,NA,NA,NA,NA,NA
"FR","FR1","NUTS 1",2007,1727,0.978,0.095,6e-04,0
"SK","SK0","NUTS 1",2007,4946,0.9043,0.0119,2e-04,0
"DE","DE1","NUTS 1",2007,NA,NA,NA,NA,NA
"DE","DE2","NUTS 1",2007,NA,NA,NA,NA,NA
"HU","HU1","NUTS 1",2007,2228,0.9363,0.1755,0,0
"AT","AT1","NUTS 1",2007,2753,0.9855,0.0908,4e-04,0
"FR","FR4","NUTS 1",2007,1000,0.974,0.11,0,0
"LI","LI0","NUTS 1",2007,NA,NA,NA,NA,NA
