"Clubs",seller,buyer,sells,buys,PV,ROI,VolumeCash,poidsmarket,achat_moyen,vente_moyen,Pays,Ville,lon,lat
Werder Bremen,22,20,201400000,109300000,92100000,84.263494967978,310700000,0.839926982041316,5465000,9154545.45454546,Allemagne,Breme,8.8071646,53.0758196
Udinese Calcio,45,22,432900000,118500000,314400000,265.316455696203,551400000,1.4906203343984,5386363.63636364,9620000,Italie,Udine,13.2358377,46.0634632
Parma,24,15,164380000,81230000,83150000,102.363658746768,245610000,0.663966739810646,5415333.33333333,6849166.66666667,Italie,Parme,10.3280833,44.8013678
Genoa,46,42,399350000,257380000,141970000,55.1596860672935,656730000,1.77536288032183,6128095.23809524,8681521.73913044,Italie,Gênes,8.91506071260294,44.4751326497479
Atlético-MG,9,4,70860000,22150000,48710000,219.909706546275,93010000,0.251437427099011,5537500,7873333.33333333,Brésil,Belo Horizonte,-43.9201029505999,-19.817184606171
RSC Anderlecht,20,6,180050000,28700000,151350000,527.351916376307,208750000,0.564321717094061,4783333.33333333,9002500,Belgique,Bruxelles,4.351697,50.8465573
Dynamo Kyiv,14,27,138680000,1.79e+08,-40320000,-22.5251396648045,317680000,0.858796278258402,6629629.62962963,9905714.28571429,Ukraine,Kiev,30.5241037,50.4500644
Torino,14,15,178100000,1.03e+08,75100000,72.9126213592233,281100000,0.759908190060554,6866666.66666667,12721428.5714286,Italie,Turin,7.77237858737661,45.1876913761341
Bologna,12,12,109900000,74020000,35880000,48.4733855714672,183920000,0.497197845307496,6168333.33333333,9158333.33333333,Italie,Bologne,11.3430347,44.4936714
Toulouse,16,9,154900000,39200000,115700000,295.15306122449,194100000,0.524717821738717,4355555.55555556,9681250,France,Toulouse,1.4442469,43.6044622
Norwich,14,13,144940000,94780000,50160000,52.9225575015826,239720000,0.648044081541501,7290769.23076923,10352857.1428571,Angleterre,Norwich,1.29227,52.628606
Charlton,5,7,45010000,26690000,18320000,68.6399400524541,71700000,0.193829303547996,3812857.14285714,9002000,Angleterre,Charlton,0.0365359,51.4826053
Hellas Verona,2,1,3.4e+07,1.5e+07,1.9e+07,126.666666666667,4.9e+07,0.132463540778965,1.5e+07,1.7e+07,Italie,Vérone,10.9924122,45.4384958
RB Salzburg,13,3,157100000,11500000,145600000,1266.08695652174,168600000,0.455782713782317,3833333.33333333,12084615.3846154,Allemagne,Salzburg,13.0464806,47.7981346
River Plate,22,2,204680000,16300000,188380000,1155.70552147239,220980000,0.597383535537464,8150000,9303636.36363636,Argentine,Buenos Aires,-58.4627528607721,-34.6702682861279
Atalanta,27,14,2.21e+08,81950000,139050000,169.676632092739,302950000,0.818976115897704,5853571.42857143,8185185.18518519,Italie,Bergame,9.6891219291145,45.7908866366524
