Arnhem,seller,buyer,sells,buys,PV,ROI,VolumeCash,poidsmarket,achat_moyen,vente_moyen,league,Pays,Ville,Quartier,Arnhem
Zenit S-Pb,15,35,204300000,413500000,-209200000,-50.5925030229746,617800000,1.67012194884173,11814285.7142857,13620000,Premier Liga,Russie,Saint-Petersbourg,,Zenit S-Pb
Olympique Lyon,33,40,482900000,396250000,86650000,21.8675078864353,879150000,2.37663922195566,9906250,14633333.3333333,Ligue 1,France,Lyon,,Olympique Lyon
FC Schalke 04,15,22,189500000,207200000,-17700000,-8.54247104247104,396700000,1.07241401279623,9418181.81818182,12633333.3333333,1.Bundesliga,Allemagne,Schalke,,FC Schalke 04
Swansea,17,16,239440000,170300000,69140000,40.5989430416911,409740000,1.10766553466884,10643750,14084705.8823529,Premier League,Angleterre,Swansea,,Swansea
Aston Villa,18,41,205500000,353380000,-147880000,-41.8473031863716,558880000,1.51084129939894,8619024.3902439,11416666.6666667,Premier League,Angleterre,Birmingham,,Aston Villa
FC Porto,48,37,799700000,281080000,518620000,184.509748114416,1080780000,2.92171317557327,7596756.75675676,16660416.6666667,Liga NOS,Portugal,Porto,,FC Porto
Bor. M'gladbach,13,19,167450000,174300000,-6850000,-3.93000573723465,341750000,0.92386561349411,9173684.21052632,12880769.2307692,1.Bundesliga,Allemagne,Mönchengladbach,,Bor. M'gladbach
Flamengo,7,4,77450000,2.5e+07,52450000,209.8,102450000,0.276956933730714,6250000,11064285.7142857,Série A,Brésil,Rio de Janeiro,,Flamengo
Valencia CF,31,47,479300000,546800000,-67500000,-12.3445501097293,1026100000,2.77389467741421,11634042.5531915,15461290.3225806,LaLiga,Espagne ,Valencia,,Valencia CF
Atl�tico Madrid,41,59,632650000,866010000,-233360000,-26.9465710557615,1498660000,4.05138387803682,14678135.5932203,15430487.804878,LaLiga,Espagne ,Madrid,,Atl�tico Madrid
US Palermo,29,27,291300000,1.65e+08,126300000,76.5454545454545,456300000,1.23353293178453,6111111.11111111,10044827.5862069,Serie A,Italie,Palerme,,US Palermo
Newcastle,31,47,375750000,447130000,-71380000,-15.964037304587,822880000,2.2245224170652,9513404.25531915,12120967.7419355,Premier League,Angleterre,Newcastle,,Newcastle
TSG Hoffenheim,12,19,1.63e+08,112800000,50200000,44.5035460992908,275800000,0.74558050095589,5936842.10526316,13583333.3333333,1.Bundesliga,Allemagne,Hoffenheim,,TSG Hoffenheim
G. Bordeaux,16,12,153950000,80900000,73050000,90.2966625463535,234850000,0.634878827590612,6741666.66666667,9621875,Ligue 1,France,Bordeaux,,G. Bordeaux
S�o Paulo,19,6,187060000,41400000,145660000,351.835748792271,228460000,0.617604500538008,6900000,9845263.15789474,Série A,Brésil,São Paulo,,S�o Paulo
Benfica,44,34,732720000,267050000,465670000,174.375585096424,999770000,2.70271579927727,7854411.76470588,16652727.2727273,Liga NOS,Portugal,Lisbonne,,Benfica
Sporting CP,21,18,269700000,101150000,168550000,166.633712308453,370850000,1.00253273669141,5619444.44444444,12842857.1428571,Liga NOS,Portugal,Lisbonne,,Sporting CP
Fiorentina,28,47,359350000,343350000,1.6e+07,4.65996796272026,702700000,1.89963530827304,7305319.14893617,12833928.5714286,Serie A,Italie,Florence,,Fiorentina
Villarreal CF,30,42,361640000,370250000,-8610000,-2.32545577312627,731890000,1.97854573185136,8815476.19047619,12054666.6666667,LaLiga,Espagne ,Vila-real,,Villarreal CF
GZ Evergrande,4,16,70900000,164250000,-93350000,-56.8340943683409,235150000,0.635689828860687,10265625,17725000,Super League,Chine,Canton,,GZ Evergrande
AFC Ajax,28,23,382130000,166100000,216030000,130.060204695966,548230000,1.48205075431127,7221739.13043478,13647500,Eredisivie,Pays-Bas,Amsterdam,,AFC Ajax
Bayern Munich,21,39,287700000,703900000,-416200000,-59.1277170052564,991600000,2.68062953135555,18048717.9487179,13700000,1.Bundesliga,Allemagne,Munich,,Bayern Munich
Watford,11,21,115400000,205160000,-89760000,-43.751218561123,320560000,0.866581890451124,9769523.80952381,10490909.0909091,Premier League,Angleterre,Watford,,Watford
Marseille,24,41,268250000,352500000,-84250000,-23.9007092198582,620750000,1.67809679466414,8597560.97560976,11177083.3333333,Ligue 1,France,Marseille,,Marseille
Arsenal,30,45,460250000,759030000,-298780000,-39.3633980211586,1219280000,3.29612542859136,16867333.3333333,15341666.6666667,Premier League,Angleterre,Londres,,Arsenal
Lazio,17,29,226990000,2.26e+08,990000,0.438053097345133,452990000,1.22458488443803,7793103.44827586,13352352.9411765,Serie A,Italie,Rome,,Lazio
Sevilla FC,34,47,541100000,381400000,159700000,41.8720503408495,922500000,2.49382890548154,8114893.61702128,15914705.8823529,LaLiga,Espagne ,Seville,,Sevilla FC
Anzhi,16,20,197500000,229700000,-32200000,-14.018284719199,427200000,1.15486580858722,11485000,12343750,Premier Liga,Russie,Makhatchkala,,Anzhi
LOSC Lille,27,15,319010000,1.16e+08,203010000,175.008620689655,435010000,1.17597887498485,7733333.33333333,11815185.1851852,Ligue 1,France,Lille,,LOSC Lille
Paris SG,25,47,310200000,1125250000,-815050000,-72.4327927127305,1435450000,3.88050591043195,23941489.3617021,12408000,Ligue 1,France,Paris,,Paris SG
PSV Eindhoven,22,22,225880000,121800000,104080000,85.4515599343186,347680000,0.939896405265931,5536363.63636364,10267272.7272727,Eredisivie,Pays-Bas,Eindhoven,,PSV Eindhoven
Internacional,21,7,207500000,40440000,167060000,413.105835806133,247940000,0.670265516341564,5777142.85714286,9880952.38095238,Série A,Brésil,Porto Alegre,,Internacional
Real Sociedad,9,11,163800000,88700000,75100000,84.6674182638106,252500000,0.682592735646709,8063636.36363636,18200000,LaLiga,Espagne ,Saint-Sebastien,,Real Sociedad
Palmeiras,11,3,90500000,21850000,68650000,314.187643020595,112350000,0.303719975643199,7283333.33333333,8227272.72727273,Série A,Brésil,Bahia,,Palmeiras
Man City,37,72,412250000,1695160000,-1282910000,-75.6807616980108,2107410000,5.69704062189794,23543888.8888889,11141891.8918919,Premier League,Angleterre,Manchester,,Man City
Gr�mio,13,3,124840000,15750000,109090000,692.634920634921,140590000,0.380062228532954,5250000,9603076.92307692,Série A,Brésil,Porto Alegre,,Gr�mio
Dinamo Moscow,13,28,1.11e+08,201500000,-90500000,-44.9131513647643,312500000,0.844792989661768,7196428.57142857,8538461.53846154,Premier Liga,Russie,Moscou,,Dinamo Moscow
VfB Stuttgart,17,18,170900000,96900000,7.4e+07,76.3673890608875,267800000,0.723953800420549,5383333.33333333,10052941.1764706,1.Bundesliga,Allemagne,Stuttgart,,VfB Stuttgart
M�laga CF,15,7,155500000,55800000,99700000,178.673835125448,211300000,0.571215227889701,7971428.57142857,10366666.6666667,LaLiga,Espagne ,Malaga,,M�laga CF
Bay. Leverkusen,22,30,272710000,302180000,-29470000,-9.7524654179628,574890000,1.55412173384529,10072666.6666667,12395909.0909091,1.Bundesliga,Allemagne,Leverkusen,,Bay. Leverkusen
OGC Nice,12,7,158400000,4.7e+07,111400000,237.021276595745,205400000,0.555265536244887,6714285.71428571,13200000,Ligue 1,France,Nice,,OGC Nice
Sampdoria,22,21,260740000,162300000,98440000,60.6531115218731,423040000,1.14361992430885,7728571.42857143,11851818.1818182,Serie A,Italie,Gênes,,Sampdoria
CSKA Moscow,13,16,181400000,101900000,79500000,78.01766437684,283300000,0.765855532707773,6368750,13953846.1538462,Premier Liga,Russie,Moscou,,CSKA Moscow
Real Betis,12,18,154500000,129200000,25300000,19.5820433436533,283700000,0.76693686773454,7177777.77777778,12875000,LaLiga,Espagne ,Seville,,Real Betis
West Ham,21,49,235200000,488840000,-253640000,-51.8860977006792,724040000,1.95732453195106,9976326.53061225,11200000,Premier League,Angleterre,Londres,West Ham,West Ham
1. FC K�ln,7,4,83500000,38500000,4.5e+07,116.883116883117,1.22e+08,0.329807183163954,9625000,11928571.4285714,1.Bundesliga,Allemagne,Cologne,,1. FC K�ln
Crystal Palace,6,17,71150000,199320000,-128170000,-64.30363234999,270470000,0.731171711724219,11724705.8823529,11858333.3333333,Premier League,Angleterre,Londres,South Norwood,Crystal Palace
Burnley,10,7,89330000,78100000,11230000,14.3790012804097,167430000,0.452619808829023,11157142.8571429,8933000,Premier League,Angleterre,Burnley,,Burnley
Sunderland,16,35,157800000,307120000,-149320000,-48.6194321437874,464920000,1.25683570161136,8774857.14285714,9862500,Premier League,Angleterre,Sunderland,,Sunderland
1.FSV Mainz 05,14,6,1.37e+08,35800000,101200000,282.68156424581,172800000,0.467136731563371,5966666.66666667,9785714.28571429,1.Bundesliga,Allemagne,Mayence,,1.FSV Mainz 05
Werder Bremen,22,20,201400000,109300000,92100000,84.263494967978,310700000,0.839926982041316,5465000,9154545.45454546,1.Bundesliga,Allemagne,Breme,,Werder Bremen
Udinese Calcio,45,22,432900000,118500000,314400000,265.316455696203,551400000,1.4906203343984,5386363.63636364,9620000,Serie A,Italie,Udine,,Udinese Calcio
Parma,24,15,164380000,81230000,83150000,102.363658746768,245610000,0.663966739810646,5415333.33333333,6849166.66666667,Serie A,Italie,Parme,,Parma
Genoa,46,42,399350000,257380000,141970000,55.1596860672935,656730000,1.77536288032183,6128095.23809524,8681521.73913044,Serie A,Italie,Gênes,,Genoa
Atl�tico-MG,9,4,70860000,22150000,48710000,219.909706546275,93010000,0.251437427099011,5537500,7873333.33333333,Série A,Brésil,Belo Horizonte,,Atl�tico-MG
RSC Anderlecht,20,6,180050000,28700000,151350000,527.351916376307,208750000,0.564321717094061,4783333.33333333,9002500,Jupiler Pro League,Belgique,Bruxelles,,RSC Anderlecht
Dynamo Kyiv,14,27,138680000,1.79e+08,-40320000,-22.5251396648045,317680000,0.858796278258402,6629629.62962963,9905714.28571429,,Ukraine,Kiev,,Dynamo Kyiv
Torino,14,15,178100000,1.03e+08,75100000,72.9126213592233,281100000,0.759908190060554,6866666.66666667,12721428.5714286,Serie A,Italie,Turin,,Torino
Bologna,12,12,109900000,74020000,35880000,48.4733855714672,183920000,0.497197845307496,6168333.33333333,9158333.33333333,Serie A,Italie,Bologne,,Bologna
Toulouse,16,9,154900000,39200000,115700000,295.15306122449,194100000,0.524717821738717,4355555.55555556,9681250,Ligue 1,France,Toulouse,,Toulouse
Norwich,14,13,144940000,94780000,50160000,52.9225575015826,239720000,0.648044081541501,7290769.23076923,10352857.1428571,Premier League,Angleterre,Norwich,,Norwich
Charlton,5,7,45010000,26690000,18320000,68.6399400524541,71700000,0.193829303547996,3812857.14285714,9002000,Premier League,Angleterre,Charlton,,Charlton
Hellas Verona,2,1,3.4e+07,1.5e+07,1.9e+07,126.666666666667,4.9e+07,0.132463540778965,1.5e+07,1.7e+07,Serie A,Italie,Vérone,,Hellas Verona
RB Salzburg,13,3,157100000,11500000,145600000,1266.08695652174,168600000,0.455782713782317,3833333.33333333,12084615.3846154,1.Bundesliga,Allemagne,Salzburg,,RB Salzburg
River Plate,22,2,204680000,16300000,188380000,1155.70552147239,220980000,0.597383535537464,8150000,9303636.36363636,Primera División,Argentine,Buenos Aires,,River Plate
Atalanta,27,14,2.21e+08,81950000,139050000,169.676632092739,302950000,0.818976115897704,5853571.42857143,8185185.18518519,Serie A,Italie,Bergame,,Atalanta
Dinamo Zagreb,20,NA,172880000,8644000,172880000,Inf,181524000,0.490720648497161,NA,8644000,,Croatie,Zagreb,,Dinamo Zagreb
FC Basel,19,2,183100000,8750000,174350000,1992.57142857143,191850000,0.518635312213153,4375000,9636842.10526316,,Suisse,Bale,,FC Basel
Besiktas,8,16,76600000,78600000,-2e+06,-2.54452926208651,155200000,0.41955799038562,4912500,9575000,,Turquie,Istanbul,,Besiktas
Stoke City,9,28,77500000,249800000,-172300000,-68.9751801441153,327300000,0.884802385652149,8921428.57142857,8611111.11111111,Premier League,Angleterre,Stoke,,Stoke City
AZ Alkmaar,20,5,149650000,23500000,126150000,536.808510638298,173150000,0.468082899711792,4700000,7482500,Eredisivie,Pays-Bas,Alkmaar,,AZ Alkmaar
Blackburn,15,14,149350000,71880000,77470000,107.776850306066,221230000,0.598059369929193,5134285.71428571,9956666.66666667,Premier League,Angleterre,Blackburn,,Blackburn
Standard Li�ge,12,3,87810000,11500000,76310000,663.565217391304,99310000,0.268468453770593,3833333.33333333,7317500,Jupiler Pro League,Belgique,Liège,,Standard Li�ge
Independiente,10,NA,71160000,3558000,71160000,Inf,74718000,0.201987976324954,NA,7116000,Primera División,Italie,Avellaneda,,Independiente
Boca Juniors,15,5,133300000,31050000,102250000,329.307568438003,164350000,0.444293529122917,6210000,8886666.66666667,Primera División,Argentine,Buenos Aires,,Boca Juniors
Portsmouth,18,15,148450000,100260000,48190000,48.065030919609,248710000,0.672347086268091,6684000,8247222.22222222,Premier League,Angleterre,Portsmouth,,Portsmouth
BJ Sinobo Guoan,1,8,20440000,102750000,-82310000,-80.1070559610706,123190000,0.333024154868586,12843750,20440000,,Chine,Pekin,,BJ Sinobo Guoan
Al Sadd,1,10,20200000,75650000,-55450000,-73.2980832782551,95850000,0.259114905789057,7565000,20200000,,Qatar,Doha,,Al Sadd
Dep. La Coru�a,9,6,96580000,31140000,65440000,210.14771997431,127720000,0.345270274046723,5190000,10731111.1111111,LaLiga,Espagne ,La Corogne,,Dep. La Coru�a
Real Zaragoza,13,10,116600000,70100000,46500000,66.3338088445078,186700000,0.504713123743527,7010000,8969230.76923077,LaLiga,Espagne ,Saragosse,,Real Zaragoza
FC Augsburg,1,1,2e+07,7e+06,1.3e+07,185.714285714286,2.7e+07,0.0729901143067768,7e+06,2e+07,1.Bundesliga,Allemagne,Augsburg,,FC Augsburg
FC Lorient,14,2,121500000,9e+06,112500000,1250,130500000,0.352785552482754,4500000,8678571.42857143,Ligue 1,France,Lorient,,FC Lorient
SC Freiburg,6,3,6e+07,1.5e+07,4.5e+07,300,7.5e+07,0.202750317518824,5e+06,1e+07,1.Bundesliga,Allemagne,Freiburg,,SC Freiburg
Espanyol,14,9,1.14e+08,48600000,65400000,134.567901234568,162600000,0.439562688380811,5400000,8142857.14285714,LaLiga,Espagne ,Barcelone,,Espanyol
Corinthians,26,11,205400000,85500000,119900000,140.233918128655,290900000,0.786400898216347,7772727.27272727,7900000,Série A,Brésil,São Paulo,,Corinthians
Lecce,6,NA,5.1e+07,2550000,5.1e+07,Inf,53550000,0.144763726708441,NA,8500000,Serie A,Italie,Lecce,,Lecce
Fulham,18,25,124700000,194380000,-69680000,-35.8473093939706,319080000,0.862580950852086,7775200,6927777.77777778,Premier League,Angleterre,Londres,,Fulham
Wigan,16,22,142680000,99970000,42710000,42.7228168450535,242650000,0.65596486061257,4544090.90909091,8917500,Premier League,Angleterre,Manchester,,Wigan
Vasco da Gama,5,NA,45700000,2285000,45700000,Inf,47985000,0.129719653148544,NA,9140000,Série A,Brésil,Rio de Janeiro,,Vasco da Gama
Feyenoord,17,5,1.37e+08,18500000,118500000,640.540540540541,155500000,0.420368991655696,3700000,8058823.52941176,Eredisivie,Pays-Bas,Rotterdam,,Feyenoord
Bolton,5,11,38450000,67550000,-29100000,-43.079200592154,1.06e+08,0.286553782093272,6140909.09090909,7690000,Premier League,Angleterre,Bolton,,Bolton
Hamburger SV,16,29,145700000,193600000,-47900000,-24.7417355371901,339300000,0.917242436455161,6675862.06896552,9106250,1.Bundesliga,Allemagne,Hambourg,,Hamburger SV
Kuban Krasnodar,6,3,4.7e+07,1.5e+07,3.2e+07,213.333333333333,6.2e+07,0.167606929148895,5e+06,7833333.33333333,,Russie,Krasnodar,,Kuban Krasnodar
Rubin Kazan,10,21,81900000,159400000,-77500000,-48.6198243412798,241300000,0.652315354897231,7590476.19047619,8190000,,Russie,Kazan,,Rubin Kazan
Sassuolo,11,13,112700000,85200000,27500000,32.2769953051643,197900000,0.534990504493004,6553846.15384615,10245454.5454545,Serie A,Italie,Sassuolo,,Sassuolo
KRC Genk,10,1,101300000,4500000,96800000,2151.11111111111,105800000,0.286013114579888,4500000,10130000,Jupiler Pro League,Belgique,Genk,,KRC Genk
Celta de Vigo,11,5,93800000,3.8e+07,55800000,146.842105263158,131800000,0.356299891319747,7600000,8527272.72727273,LaLiga,Espagne ,Vigo,,Celta de Vigo
SCO Angers,2,NA,2.8e+07,1400000,2.8e+07,Inf,29400000,0.0794781244673791,NA,1.4e+07,Ligue 1,France,Angers,,SCO Angers
Loko Moscow,12,28,8.6e+07,156900000,-70900000,-45.1880178457616,242900000,0.656640695004299,5603571.42857143,7166666.66666667,,Russie,Moscou,,Loko Moscow
ZJ Greentown,3,NA,31720000,1586000,31720000,Inf,33306000,0.0900373610037595,NA,10573333.3333333,,Chine,Hangzhou,,ZJ Greentown
Olympiacos,14,9,136850000,53300000,83550000,156.754221388368,190150000,0.514039638349393,5922222.22222222,9775000,,Grèce,Le pirée,,Olympiacos
Spartak Moscow,14,32,102600000,208700000,-106100000,-50.8385241974126,311300000,0.841548984581467,6521875,7328571.42857143,,Russie,Moscou,,Spartak Moscow
Nottm Forest,7,3,66800000,28700000,38100000,132.752613240418,95500000,0.258168737640636,9566666.66666667,9542857.14285714,Premier League,Angleterre,Nottingham,,Nottm Forest
Heerenveen,13,1,106050000,4500000,101550000,2256.66666666667,110550000,0.298853968022747,4500000,8157692.30769231,Eredisivie,Pays-Bas,Heerenveen,,Heerenveen
Hertha BSC,10,5,83100000,25400000,57700000,227.165354330709,108500000,0.293312126010566,5080000,8310000,,Allemagne,Berlin,,Hertha BSC
FC Metz,6,NA,44500000,2225000,44500000,Inf,46725000,0.126313447814228,NA,7416666.66666667,Ligue 1,France,Metz,,FC Metz
Fluminense,15,2,115900000,10400000,105500000,1014.42307692308,126300000,0.3414315347017,5200000,7726666.66666667,Série A,Brésil,Rio de Janeiro,,Fluminense
Middlesbrough,13,23,1.24e+08,188910000,-64910000,-34.3602773807633,312910000,0.845901358064204,8213478.26086957,9538461.53846154,Premier League,Angleterre,Middlesbrough,,Middlesbrough
Leeds,7,1,58450000,7900000,50550000,639.873417721519,66350000,0.179366447564987,7900000,8350000,Premier League,Angleterre,Leeds,,Leeds
Hull City,11,14,122500000,96850000,25650000,26.4842540010325,219350000,0.592977095303388,6917857.14285714,11136363.6363636,Premier League,Angleterre,Hull,,Hull City
Stade Rennais,27,19,205300000,124100000,81200000,65.4311039484287,329400000,0.890479394542676,6531578.94736842,7603703.7037037,Ligue 1,France,Rennes,,Stade Rennais
Vitesse,5,1,43600000,4e+06,39600000,990,47600000,0.128678868185281,4e+06,8720000,Eredisivie,Pays-Bas,Arnhem,,Vitesse
Fenerbahce,9,33,81200000,233800000,-152600000,-65.2694610778443,3.15e+08,0.851551333579062,7084848.48484848,9022222.22222222,,Turquie,Istanbul,,Fenerbahce
Braga,17,1,115330000,9500000,105830000,1114,124830000,0.337457628478331,9500000,6784117.64705882,Liga NOS,Portugal,Braga,,Braga
Galatasaray,9,26,80650000,153300000,-72650000,-47.3907371167645,233950000,0.632445823780386,5896153.84615385,8961111.11111111,,Turquie,Istanbul,,Galatasaray
Racing Club,11,1,72790000,3200000,69590000,2174.6875,75990000,0.205426621710073,3200000,6617272.72727273,Primera División,Italie,Avellaneda,,Racing Club
Montpellier,11,2,103900000,8500000,95400000,1122.35294117647,112400000,0.303855142521545,4250000,9445454.54545454,Ligue 1,France,Montpellier,,Montpellier
Celtic,10,10,94750000,5.2e+07,42750000,82.2115384615385,146750000,0.396714787945166,5200000,9475000,,Écosse,Glasgow,,Celtic
Cruzeiro,17,1,130300000,5e+06,125300000,2506,135300000,0.365761572803959,5e+06,7664705.88235294,,Brésil,Belo Horizonte,,Cruzeiro
Bari,2,2,1.9e+07,1.5e+07,4e+06,26.6666666666667,3.4e+07,0.0919134772752004,7500000,9500000,Serie A,Italie,Bari,,Bari
Cagliari Calcio,6,8,57200000,48900000,8300000,16.9734151329243,106100000,0.286824115849963,6112500,9533333.33333333,Serie A,Italie,Cagliari,,Cagliari Calcio
Metalist,6,9,42440000,50100000,-7660000,-15.2894211576846,92540000,0.25016685844256,5566666.66666667,7073333.33333333,,Russie,Kharkiv,,Metalist
Wolves,8,16,71750000,126600000,-54850000,-43.3254344391785,198350000,0.536207006398117,7912500,8968750,Premier League,Angleterre,Wolverhampton,,Wolves
V�lez Sarsfield,11,NA,77950000,3897500,77950000,Inf,81847500,0.221261421508293,NA,7086363.63636364,Primera División,Argentine,Buenos Aires,,V�lez Sarsfield
CF Pachuca,7,2,6.5e+07,12550000,52450000,417.92828685259,77550000,0.209643828314464,6275000,9285714.28571429,,Mexique,Pachuca,,CF Pachuca
Granada CF,7,3,6e+07,13500000,46500000,344.444444444444,73500000,0.198695311168448,4500000,8571428.57142857,,Espagne ,Grenade,,Granada CF
Club Brugge,11,1,79130000,4e+06,75130000,1878.25,83130000,0.224728451937865,4e+06,7193636.36363636,Jupiler Pro League,Belgique,Bruges,,Club Brugge
FC Sion,5,NA,39700000,1985000,39700000,Inf,41685000,0.112688626476963,NA,7940000,Super League,Suisse,Sion,,FC Sion
JS Suning,3,8,34850000,118270000,-83420000,-70.5335249852033,153120000,0.413935048246432,14783750,11616666.6666667,,Chine,Nankin,,JS Suning
Saint-�tienne,16,18,136750000,87700000,49050000,55.9293044469783,224450000,0.606764116894668,4872222.22222222,8546875,,France,Saint-Étienne,,Saint-�tienne
Chivas,3,4,2.5e+07,32150000,-7150000,-22.2395023328149,57150000,0.154495741949344,8037500,8333333.33333333,,Mexique,Guadalajara,,Chivas
Racing,6,3,116540000,21200000,95340000,449.716981132075,137740000,0.372357716467238,7066666.66666667,19423333.3333333,,Espagne ,Santander,,Racing
RCD Mallorca,14,6,82900000,25500000,57400000,225.098039215686,108400000,0.293041792253874,4250000,5921428.57142857,,Espagne ,Majorque,,RCD Mallorca
Desp. Brasil,10,NA,54330000,2716500,54330000,Inf,57046500,0.154215946511168,NA,5433000,,Brésil,Porto Feliz,,Desp. Brasil
FC Twente,15,6,130630000,3.3e+07,97630000,295.848484848485,163630000,0.442347126074736,5500000,8708666.66666667,,Pays-Bas,Enschede,,FC Twente
R. Strasbourg,6,NA,35780000,1789000,35780000,Inf,37569000,0.101561689051529,NA,5963333.33333333,,France,Strasbourg,,R. Strasbourg
West Brom,11,26,82510000,195380000,-112870000,-57.7694748694851,277890000,0.751230476470748,7514615.38461538,7500909.09090909,,Angleterre,West Bromwich,,West Brom
U. de Chile,4,NA,27700000,1385000,27700000,Inf,29085000,0.0786265731338001,NA,6925000,,Chili,Santiago,,U. de Chile
Basaksehir,1,NA,13400000,670000,13400000,Inf,14070000,0.0380359595665314,NA,13400000,,Turquie,Istanbul,,Basaksehir
QPR,5,17,41640000,117520000,-75880000,-64.5677331518039,159160000,0.430263207150614,6912941.17647059,8328000,,Angleterre,Londres,,QPR
CA Osasuna,9,NA,51050000,2552500,51050000,Inf,53602500,0.144905651930704,NA,5672222.22222222,,Espagne ,Pampelune,,CA Osasuna
Reggina,8,NA,42350000,2117500,42350000,Inf,44467500,0.120210663256911,NA,5293750,,Italie,Reggio de Calabre,,Reggina
Rangers,4,8,40900000,33580000,7320000,21.7986896962478,74480000,0.201344581984027,4197500,10225000,,Écosse,Glasgow,,Rangers
Bristol City,4,NA,35450000,1772500,35450000,Inf,37222500,0.100624982584593,NA,8862500,,Angleterre,Bristol,,Bristol City
Birmingham,16,16,91150000,77450000,13700000,17.6888315041963,168600000,0.455782713782317,4840625,5696875,,Angleterre,Birmingham,,Birmingham
UD Las Palmas,3,NA,2.7e+07,1350000,2.7e+07,Inf,28350000,0.0766396200221156,NA,9e+06,,Espagne ,Las Palmas de Gran Canaria,,UD Las Palmas
SD Luneng,3,7,33790000,60950000,-27160000,-44.5611156685808,94740000,0.256114201089779,8707142.85714286,11263333.3333333,,Chine,Shandong,,SD Luneng
Brentford,2,NA,22900000,1145000,22900000,Inf,24045000,0.0650017517965351,NA,11450000,,Angleterre,Brentford,,Brentford
AJ Auxerre,13,4,73700000,17300000,56400000,326.011560693642,9.1e+07,0.246003718589507,4325000,5669230.76923077,,France,Auxerre,,AJ Auxerre
Catania,4,3,3.9e+07,1.1e+07,2.8e+07,254.545454545455,5e+07,0.135166878345883,3666666.66666667,9750000,,Italie,Catane,,Catania
